Invoice number,5538771212,
Invoice date,2026-03-31,
Due date,,
Billing ID,0583-3841-9453,
Billing account ID,015BA2-CD7723-87BDE4,
Currency,CAD,
Currency exchange rate,1.3694,
Total amount due,"$2,497.29",
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
My Billing Account,015BA2-CD7723-87BDE4,AutoScraper,autoscraper-32bb0,[Project not associated with any folders or organizations],Cloud Text-to-Speech API,02DA-B362-D983,Count of characters for using Studio voices.,84AB-48C0-F9C3,Default,,Usage,2026-03-22,2026-03-22,"55,496",count,0.000000,0.00
My Billing Account,015BA2-CD7723-87BDE4,AutoScraper,autoscraper-32bb0,[Project not associated with any folders or organizations],Cloud Text-to-Speech API,02DA-B362-D983,Count of characters for using standard voices,9D01-5995-B545,Default,,Usage,2026-03-22,2026-03-22,70,count,0.000000,0.00
My Billing Account,015BA2-CD7723-87BDE4,AutoScraper,autoscraper-32bb0,[Project not associated with any folders or organizations],Cloud Text-to-Speech API,02DA-B362-D983,Count of characters for using wavenet voices,FEBD-04B6-769B,Default,,Usage,2026-03-22,2026-03-22,"56,165",count,0.000000,0.00
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content audio input token count for gemini 3 pro short,5A81-3FA7-8399,Default,,Usage,2026-03-20,2026-03-20,"1,421",count,0.003891,0.00
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Output - Predictions,1BD4-2AB9-AEFB,Default,,Usage,2026-03-05,2026-03-28,"9,994,880",count,821.189285,821.19
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Output - Predictions,CE23-3061-A132,Default,,Usage,2026-03-05,2026-03-28,"2,869,945",count,11.789819,11.79
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Input - Predictions,79EE-4DC9-1607,Default,,Usage,2026-03-05,2026-03-28,"4,612,750",count,3.158187,3.16
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Input - Predictions,A44E-F89C-67C0,Default,,Usage,2026-03-05,2026-03-28,"3,891,672",count,2.664472,2.66
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content image output token count for Gemini 3 Pro Image,096D-0370-0236,Default,,Usage,2026-03-01,2026-03-05,"7,704,480",count,1266.015537,1266.02
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content image input token count for gemini 3 pro short,621F-B428-5221,Default,,Usage,2026-03-01,2026-03-12,"19,026,936",count,52.109005,52.11
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 pro short,530B-F4DF-9814,Default,,Usage,2026-03-01,2026-03-20,"2,371,478",count,38.968534,38.97
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 pro short,FB70-0CFB-9533,Default,,Usage,2026-03-01,2026-03-20,"4,201,161",count,11.505654,11.51
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text input token count for gemini 3 pro short,FB70-0CFB-9533,Default,,Usage,2026-03-01,2026-03-27,"612,069",count,1.676263,1.68
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text output token count for gemini 3 pro short,530B-F4DF-9814,Default,,Usage,2026-03-01,2026-03-20,"30,798",count,0.506075,0.51
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content image output token count for Gemini 2.5 Flash Native Image Generation,2A8D-CD62-0E04,Default,,Usage,2026-03-01,2026-03-01,"5,160",count,0.211975,0.21
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content text cached input token count for gemini 3 pro short,4D6D-3A29-44D7,Default,,Usage,2026-03-01,2026-03-16,"571,062",count,0.156392,0.16
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content audio input token count for gemini 3 pro short,5A81-3FA7-8399,Default,,Usage,2026-03-01,2026-03-20,"12,081",count,0.033079,0.03
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content cached audio input token count for gemini 3 pro short,D2A3-F75E-8166,Default,,Usage,2026-03-01,2026-03-16,"12,076",count,0.003304,0.00
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Generate_content image input token count for Gemini 2.5 Flash Native Image Generation,74A0-9E74-BEDC,Default,,Usage,2026-03-01,2026-03-01,"1,295",count,0.000531,0.00
My Billing Account,015BA2-CD7723-87BDE4,AutoScraper,autoscraper-32bb0,[Project not associated with any folders or organizations],App Engine,F17B-412E-CB64,Cloud Firestore Storage,5C80-18C6-21C5,Default,,Usage,2026-03-01,2026-03-31,0.189,gibibyte month,0.000000,0.00
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],Street View Static API,9208-3D32-4342,Static Street View,9BD0-A2EE-44C3,Default,,Usage,2026-03-01,2026-03-05,"6,979",count,0.000000,0.00
My Billing Account,015BA2-CD7723-87BDE4,Gemini API,gen-lang-client-0852406535,[Project not associated with any folders or organizations],,,,,,,Tax,,,,,286.991494,286.99
My Billing Account,015BA2-CD7723-87BDE4,Raindropticon,raindropticon,[Project not associated with any folders or organizations],,,,,,,Tax,,,,,0.308766,0.31
My Billing Account,015BA2-CD7723-87BDE4,[Charges not specific to a project],,,,,,,,,Tax,,,,,-0.000260,-0.00
,,,,,,,,,,,Rounding error,,,,,-0.002003,-0.00
,,,,,,,,,,,Total,,,,,2497.290000,2497.29
