street,label,location,heading,pitch,fov,radius,bottom_crop,source,sample_location,pano_id,pano_lat,pano_lng,pano_date,status,group_id,created_at
auto_1,auto_KFborpaSl9vuwF7T2VXt-Q_h180,"45.4172801,-75.6815602",180,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_2,auto_KFborpaSl9vuwF7T2VXt-Q_h225,"45.4172801,-75.6815602",225,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_3,auto_KFborpaSl9vuwF7T2VXt-Q_h270,"45.4172801,-75.6815602",270,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_4,auto_KFborpaSl9vuwF7T2VXt-Q_h315,"45.4172801,-75.6815602",315,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_5,auto_KFborpaSl9vuwF7T2VXt-Q_h0,"45.4172801,-75.6815602",0,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_6,auto_KFborpaSl9vuwF7T2VXt-Q_h45,"45.4172801,-75.6815602",45,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_7,auto_KFborpaSl9vuwF7T2VXt-Q_h90,"45.4172801,-75.6815602",90,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_8,auto_KFborpaSl9vuwF7T2VXt-Q_h135,"45.4172801,-75.6815602",135,0,90,50,30,auto_sampler,"45.4173748,-75.6817360",KFborpaSl9vuwF7T2VXt-Q,45.41728011177434,-75.68156017636493,2024-10,ok,KFborpaSl9vuwF7T2VXt-Q,2026-02-28T21:27:23.834Z
auto_9,auto_H24h5Mys8xKOfHOZS0XdSQ_h180,"45.3694074,-75.6816799",180,0,90,50,30,auto_sampler,"45.3693671,-75.6818065",H24h5Mys8xKOfHOZS0XdSQ,45.36940740023657,-75.68167989878488,2024-10,ok,H24h5Mys8xKOfHOZS0XdSQ,2026-02-28T21:27:24.007Z
auto_10,auto_H24h5Mys8xKOfHOZS0XdSQ_h225,"45.3694074,-75.6816799",225,0,90,50,30,auto_sampler,"45.3693671,-75.6818065",H24h5Mys8xKOfHOZS0XdSQ,45.36940740023657,-75.68167989878488,2024-10,ok,H24h5Mys8xKOfHOZS0XdSQ,2026-02-28T21:27:24.007Z
auto_11,auto_H24h5Mys8xKOfHOZS0XdSQ_h270,"45.3694074,-75.6816799",270,0,90,50,30,auto_sampler,"45.3693671,-75.6818065",H24h5Mys8xKOfHOZS0XdSQ,45.36940740023657,-75.68167989878488,2024-10,ok,H24h5Mys8xKOfHOZS0XdSQ,2026-02-28T21:27:24.007Z
